Date,Seafood_Type,City,Weight_kg,Temperature_C,Fuel_Cost_USD,Demand_Index,Season,Market_Price_USD_per_kg
2000-01-01,Mackerel,Panaji,7.11,30.9,1.62,0.22,Low,1.7
2000-01-01,Tilapia,Mumbai,8.24,31.0,1.84,0.45,Low,4.87
2000-01-04,Cod,Pondicherry,2.53,29.2,1.22,0.54,High,11.6
2000-01-04,Tuna,Mumbai,3.04,27.0,1.42,0.49,High,9.87
2000-01-04,Lobster,Ahmedabad,2.24,24.7,2.83,0.28,High,11.96
2000-01-05,Tuna,Vellore,0.86,26.8,2.7,0.45,High,7.56
2000-01-06,Shrimp,Cuddalore,6.15,23.9,2.62,0.62,High,14.45
2000-01-08,Salmon,Panaji,1.01,30.0,2.54,0.44,Low,7.55
2000-01-08,Mackerel,Ernakulam,2.74,28.0,2.15,0.63,Low,10.01
2000-01-09,Fish,Vishakhapatnam,1.5,18.5,2.3,0.86,High,12.61
2000-01-09,Catfish,Ernakulam,2.9,25.1,1.11,0.44,High,5.66
2000-01-10,Fish,Panaji,8.66,22.8,2.28,0.59,High,9.49
2000-01-12,Tuna,Panaji,8.05,31.8,1.92,0.76,High,12.64
2000-01-13,Salmon,Surat,4.16,19.8,1.69,0.86,High,19.37
2000-01-14,Mackerel,Bengaluru,9.86,30.1,1.97,0.66,High,11.67
2000-01-16,Cod,Visakhapatnam,4.18,19.9,1.93,0.67,Low,12.53
2000-01-16,Catfish,Vellore,4.17,21.5,1.37,0.69,High,10.33
2000-01-17,Cod,Chennai,5.94,19.9,1.69,0.53,High,11.94
2000-01-17,Lobster,Panaji,7.62,18.7,2.04,0.21,High,9.98
2000-01-18,Tilapia,Surat,3.58,27.5,0.98,0.63,High,8.62
2000-01-19,Salmon,Mangalore,8.39,31.1,2.21,0.21,Low,4.88
2000-01-19,Fish,Thiruvananthapuram,3.17,26.3,2.42,0.51,High,9.06
2000-01-20,Cod,Surat,5.75,29.0,2.97,0.6,High,11.75
2000-01-20,Catfish,Vishakhapatnam,6.58,31.1,2.81,0.58,High,5.6
2000-01-21,Tilapia,Mangalore,3.17,18.3,0.93,0.6,High,9.63
2000-01-21,Salmon,Vishakhapatnam,6.37,25.1,2.14,0.35,High,11.03
2000-01-23,Fish,Daman,1.94,30.4,1.04,0.54,Low,5.15
2000-01-24,Crab,Goa Town,8.85,21.6,0.84,0.97,High,28.99
2000-01-24,Tilapia,Ernakulam,2.77,22.8,2.45,0.98,Low,13.92
2000-01-25,Catfish,Pondicherry,4.55,18.8,1.39,0.33,Low,7.57
2000-01-25,Crab,Cuddalore,0.88,28.2,2.73,0.22,Low,5.1
2000-01-25,Shrimp,Kolkata,8.91,27.3,1.35,0.71,Low,13.15
2000-01-25,Cod,Ernakulam,7.48,23.8,2.36,0.8,High,17.72
2000-01-26,Crab,Mangalore,9.67,19.7,0.91,0.3,High,7.86
2000-01-27,Tilapia,Vishakhapatnam,5.13,18.8,2.46,0.32,Low,4.72
2000-01-28,Shrimp,Chennai,4.21,20.2,2.8,0.78,High,21.09
2000-01-28,Mackerel,Vellore,7.0,23.3,2.23,0.68,High,13.78
2000-01-29,Cod,Mangalore,8.08,30.0,2.18,0.87,Low,10.96
2000-01-30,Catfish,Vellore,9.2,25.6,0.99,0.6,Low,4.41
2000-01-31,Salmon,Panaji,3.36,29.2,2.17,0.67,High,16.52
2000-01-31,Catfish,Surat,4.38,30.5,1.53,0.84,High,8.69
2000-02-02,Salmon,Cuddalore,8.06,19.7,1.41,0.73,High,17.25
2000-02-03,Tuna,Mangalore,3.64,30.8,1.78,0.38,Low,5.95
2000-02-05,Catfish,Mumbai,8.1,22.1,1.87,0.74,Low,7.91
2000-02-06,Mackerel,Ahmedabad,6.03,21.0,2.54,0.29,Low,7.6
2000-02-07,Tuna,Cuddalore,8.3,32.0,2.2,0.55,Low,5.78
2000-02-07,Lobster,Cuddalore,1.47,21.7,2.47,0.92,High,36.12
2000-02-08,Tuna,Kolkata,2.48,29.1,2.02,0.55,High,9.06
2000-02-12,Fish,Pondicherry,5.74,19.9,0.93,0.77,High,10.63
2000-02-13,Catfish,Ernakulam,8.68,24.2,0.93,0.89,Low,7.11
2000-02-15,Shrimp,Thiruvananthapuram,1.28,19.8,2.57,0.29,Low,6.66
2000-02-16,Salmon,Mangalore,7.61,28.8,1.58,0.24,High,3.59
2000-02-16,Salmon,Cuddalore,8.6,21.5,2.05,0.53,High,12.8
2000-02-17,Cod,Daman,4.73,29.1,1.86,0.62,Low,11.36
2000-02-17,Lobster,Kochi,1.35,21.3,0.82,0.78,Low,24.15
2000-02-21,Cod,Hyderabad,7.25,31.3,2.5,0.41,Low,7.17
2000-02-21,Crab,Goa Town,1.97,22.3,2.07,0.8,High,23.57
2000-02-24,Tuna,Bengaluru,3.4,31.5,2.61,0.29,High,4.18
2000-02-25,Salmon,Mumbai,9.59,31.5,2.5,0.39,High,6.68
2000-02-29,Fish,Visakhapatnam,9.24,25.0,2.86,0.69,Low,7.4
2000-02-29,Lobster,Panaji,1.05,20.4,2.12,0.76,High,31.94
2000-03-02,Tuna,Daman,6.08,23.0,2.65,0.92,Low,14.82
2000-03-02,Mackerel,Daman,4.44,22.5,1.07,0.84,High,14.71
2000-03-02,Crab,Goa Town,4.05,25.2,2.44,0.74,Low,16.47
2000-03-02,Shrimp,Pondicherry,9.22,18.7,1.82,0.93,High,25.26
2000-03-03,Mackerel,Porbandar,2.46,18.5,0.87,0.62,High,13.19
2000-03-03,Salmon,Kochi,6.32,19.8,1.19,0.61,Low,15.3
2000-03-04,Mackerel,Thiruvananthapuram,3.17,23.4,1.57,0.6,Low,9.79
2000-03-05,Shrimp,Daman,2.94,25.3,1.1,0.77,High,18.36
2000-03-07,Lobster,Pondicherry,6.28,18.5,1.09,0.22,High,11.06
2000-03-10,Fish,Hyderabad,4.1,22.4,2.1,0.29,High,7.8
2000-03-11,Salmon,Visakhapatnam,2.14,29.1,1.9,0.88,High,17.21
2000-03-14,Salmon,Ahmedabad,8.92,30.0,1.72,0.85,Low,10.44
2000-03-14,Tuna,Cuddalore,4.08,18.9,1.47,0.87,High,21.03
2000-03-15,Fish,Kolkata,7.27,21.4,2.34,0.9,High,14.0
2000-03-16,Mackerel,Goa Town,6.59,19.0,1.96,0.47,Low,9.04
2000-03-16,Fish,Vellore,9.08,30.1,1.02,0.39,High,4.35
2000-03-17,Mackerel,Vellore,8.95,21.8,2.29,0.27,Low,5.81
2000-03-20,Shrimp,Bengaluru,3.12,29.4,0.83,0.94,High,22.6
2000-03-20,Fish,Hyderabad,8.19,25.9,2.04,1.0,Low,9.53
2000-03-25,Tuna,Ernakulam,6.25,22.2,2.29,0.71,High,14.99
2000-03-25,Fish,Daman,0.7,25.5,1.25,0.81,Low,7.61
2000-03-27,Tuna,Bengaluru,8.73,29.7,2.72,0.21,High,2.89
2000-03-28,Salmon,Cuddalore,6.4,27.5,2.87,0.83,High,17.65
2000-03-28,Crab,Mumbai,0.9,25.9,1.23,0.43,High,11.45
2000-03-30,Fish,Thiruvananthapuram,4.95,28.9,2.56,0.3,Low,3.61
2000-03-31,Tilapia,Vishakhapatnam,0.98,21.3,2.29,0.26,High,4.86
2000-03-31,Mackerel,Panaji,7.58,24.3,2.06,0.81,High,15.49
2000-04-01,Catfish,Porbandar,9.59,31.2,0.82,0.48,High,3.65
2000-04-01,Crab,Panaji,8.02,19.1,1.48,0.3,High,9.03
2000-04-01,Lobster,Chennai,9.44,19.4,0.91,0.29,Low,10.72
2000-04-03,Cod,Vellore,4.64,20.9,2.95,0.7,Low,13.53
2000-04-04,Lobster,Kolkata,3.04,19.6,1.61,0.35,Low,12.8
2000-04-04,Mackerel,Thiruvananthapuram,6.08,28.4,1.79,0.95,Low,8.82
2000-04-05,Catfish,Daman,6.41,27.4,1.35,0.2,High,2.23
2000-04-05,Cod,Bengaluru,3.29,18.1,1.77,0.97,Low,17.87
2000-04-06,Shrimp,Visakhapatnam,8.23,28.3,1.27,0.47,High,9.2
2000-04-07,Salmon,Vishakhapatnam,3.42,25.2,1.49,0.26,Low,5.7
2000-04-08,Mackerel,Mumbai,6.55,29.3,1.62,0.87,High,14.94
2000-04-08,Catfish,Pondicherry,3.22,22.7,2.38,0.44,Low,6.13
2000-04-10,Crab,Hyderabad,9.52,31.6,1.52,0.91,Low,16.83
2000-04-10,Fish,Pondicherry,4.0,18.6,2.09,0.44,Low,7.76
2000-04-11,Salmon,Thiruvananthapuram,1.2,21.2,0.86,0.79,High,19.02
2000-04-12,Fish,Thiruvananthapuram,7.78,21.6,1.29,0.73,Low,8.12
2000-04-12,Fish,Thiruvananthapuram,2.02,22.5,0.97,0.57,High,9.29
2000-04-13,Lobster,Pondicherry,6.07,29.6,1.66,0.6,Low,18.02
2000-04-14,Fish,Vellore,9.8,21.9,2.62,0.67,Low,8.59
2000-04-14,Shrimp,Chennai,4.54,22.5,2.56,0.64,Low,17.43
2000-04-14,Crab,Bengaluru,9.23,23.6,1.02,0.35,Low,8.81
2000-04-15,Catfish,Porbandar,6.0,21.7,2.03,0.29,High,1.95
2000-04-18,Crab,Kolkata,7.6,28.3,2.43,0.96,Low,22.26
2000-04-18,Mackerel,Goa Town,9.53,21.5,0.87,0.81,Low,12.47
2000-04-19,Crab,Goa Town,3.55,21.3,1.12,0.54,High,16.77
2000-04-23,Salmon,Vishakhapatnam,0.54,24.0,2.79,0.65,High,15.08
2000-04-24,Mackerel,Chennai,9.36,22.1,1.37,0.59,Low,10.77
2000-04-27,Mackerel,Porbandar,2.25,27.0,1.45,0.26,Low,5.39
2000-04-28,Fish,Chennai,1.68,27.6,2.18,0.39,Low,4.36
2000-05-01,Catfish,Vishakhapatnam,7.12,18.6,1.19,0.95,Low,9.33
